St1_Pelvis_X,St1_Pelvis_Y,St1_Pelvis_Z,St2_Pelvis_X,St2_Pelvis_Y,St2_Pelvis_Z,St1_Hip_X,St1_Hip_Y,St1_Hip_Z,St2_Hip_X,St2_Hip_Y,St2_Hip_Z,St1_Knee_X,St1_Knee_Y,St1_Knee_Z,St2_Knee_X,St2_Knee_Y,St2_Knee_Z,St1_Ankle_X,St1_Ankle_Y,St1_Ankle_Z,St2_Ankle_X,St2_Ankle_Y,St2_Ankle_Z
-0.172118,0.052469,0.008842,0.968682,0.181991,-0.036894,0.09715,-0.013829,-0.000578,0.134689,-0.007195,-0.004273,0.007879,0.020316,-0.00301,-0.019466,0.004812,-0.00731,-0.003307,0.009844,-0.001262,0.027853,0.014028,-0.005789
-0.177058,0.041488,0.009082,0.968735,0.173857,-0.038327,0.08819,-0.010586,-0.00092,0.125824,-0.007565,-0.005798,0.011652,0.025089,-0.003709,-0.017441,0.006269,-0.008228,-0.003451,0.011624,-0.001573,0.032354,0.01563,-0.006535
-0.181392,0.029489,0.009612,0.968539,0.16469,-0.039319,0.079405,-0.007018,-0.001173,0.116071,-0.008007,-0.007349,0.015017,0.029999,-0.004428,-0.015306,0.00779,-0.009107,-0.003237,0.013577,-0.001891,0.037299,0.017221,-0.007239
-0.184876,0.016541,0.010473,0.968408,0.154663,-0.039733,0.071073,-0.003149,-0.001311,0.105761,-0.00847,-0.008862,0.017808,0.034963,-0.005152,-0.013256,0.009343,-0.009921,-0.002626,0.015691,-0.002207,0.042685,0.018802,-0.007873
-0.187343,0.002736,0.01169,0.968672,0.143961,-0.039449,0.063409,0.000997,-0.001313,0.095283,-0.008903,-0.010278,0.019898,0.039904,-0.005867,-0.011521,0.010885,-0.010644,-0.001605,0.017944,-0.002514,0.048502,0.020384,-0.00842
-0.188717,-0.011809,0.013267,0.969616,0.132781,-0.038375,0.056545,0.005387,-0.001167,0.085037,-0.00927,-0.011545,0.021214,0.044753,-0.006561,-0.010325,0.012361,-0.01126,-0.000186,0.020311,-0.002803,0.054728,0.021978,-0.008866
-0.189022,-0.026953,0.015188,0.971414,0.121337,-0.036467,0.050531,0.009985,-0.000867,0.075374,-0.009555,-0.01263,0.021734,0.049453,-0.007222,-0.009858,0.013709,-0.011758,0.001601,0.022759,-0.003066,0.061322,0.023592,-0.009206
-0.188369,-0.042527,0.017411,0.974071,0.109866,-0.033743,0.045337,0.014741,-0.000422,0.066534,-0.009778,-0.013523,0.021485,0.053948,-0.00784,-0.010238,0.014857,-0.012135,0.00371,0.025254,-0.003298,0.068213,0.025223,-0.009442
-0.186944,-0.058338,0.019878,0.977392,0.098631,-0.030283,0.040862,0.019594,0.000154,0.058606,-0.010009,-0.014238,0.020535,0.058187,-0.008404,-0.011486,0.015728,-0.01239,0.006087,0.027759,-0.003492,0.075311,0.026859,-0.009583
-0.184993,-0.074173,0.022514,0.980997,0.087919,-0.026224,0.036951,0.024466,0.000835,0.051513,-0.010367,-0.014822,0.018987,0.062119,-0.008907,-0.013525,0.016231,-0.012531,0.008673,0.03023,-0.003643,0.082505,0.028467,-0.009643
-0.182793,-0.089813,0.025237,0.984376,0.078019,-0.021742,0.033414,0.029269,0.001589,0.045038,-0.011012,-0.015338,0.016965,0.065694,-0.009341,-0.016194,0.016271,-0.012564,0.011408,0.032626,-0.003747,0.089681,0.029999,-0.009636
-0.180622,-0.105039,0.027963,0.986975,0.069208,-0.01702,0.030054,0.033907,0.002382,0.038882,-0.012122,-0.015857,0.014601,0.068865,-0.0097,-0.019283,0.015754,-0.012493,0.014235,0.034908,-0.003803,0.096727,0.031394,-0.009574
-0.178736,-0.119641,0.030614,0.98828,0.061732,-0.012237,0.026688,0.038284,0.003176,0.032737,-0.013872,-0.01644,0.012018,0.071586,-0.009982,-0.022579,0.014594,-0.012315,0.017099,0.037042,-0.003808,0.10354,0.032595,-0.009463
-0.177346,-0.133427,0.033122,0.987904,0.055793,-0.007544,0.02317,0.042302,0.003937,0.026364,-0.016422,-0.01714,0.009325,0.073816,-0.010182,-0.025905,0.012712,-0.012024,0.019956,0.038998,-0.003763,0.110032,0.03355,-0.009304
-0.176599,-0.146229,0.035433,0.985617,0.051537,-0.003066,0.0194,0.045868,0.004631,0.019631,-0.019898,-0.01799,0.006603,0.075513,-0.0103,-0.029141,0.010046,-0.01161,0.022766,0.040752,-0.003671,0.11614,0.034224,-0.009095
-0.176576,-0.157906,0.037509,0.981357,0.049035,0.001112,0.015337,0.048899,0.005233,0.012514,-0.024391,-0.019009,0.003908,0.076646,-0.010336,-0.032229,0.006547,-0.011066,0.025498,0.042292,-0.003535,0.121823,0.034595,-0.008832
-0.177295,-0.168349,0.039329,0.975199,0.04828,0.004932,0.010983,0.051321,0.005721,0.005076,-0.029949,-0.020199,0.001268,0.077188,-0.010289,-0.035165,0.00219,-0.010382,0.028129,0.043611,-0.003358,0.127058,0.034654,-0.008512
-0.178725,-0.177484,0.040886,0.96731,0.049182,0.008363,0.006377,0.053075,0.006078,-0.002561,-0.036582,-0.021551,-0.001309,0.077121,-0.01016,-0.037976,-0.00303,-0.009551,0.030642,0.044711,-0.003144,0.131845,0.034404,-0.00813
-0.180802,-0.185269,0.042181,0.957902,0.051589,0.011387,0.001579,0.054115,0.006295,-0.010251,-0.044275,-0.023051,-0.003825,0.076439,-0.009951,-0.040708,-0.009099,-0.008571,0.033029,0.045596,-0.002896,0.136196,0.033856,-0.007683
