St1_GRF_X,St1_GRF_Y,St1_GRF_Z,St2_GRF_X,St2_GRF_Y,St2_GRF_Z
-0.15386045451,-1.18673802044,37.57765691309,-10.78646182145,1.11078159353,48.54264879779
-0.307370022262364,-1.11936526295571,43.0775745465388,-10.6544850400084,1.09442266899654,56.781546949306
-0.603548663337651,-1.06734606490947,48.8819046338668,-10.8110918653502,1.03418284839446,65.753964035248
-1.06386929453783,-1.03307574982439,54.9713523234496,-11.3023229550418,0.929698891932182,75.468060329764
-1.70347960517502,-1.01721848668479,61.3168481248968,-12.1618566057082,0.780649880931065,85.8935198088997
-2.52583230219274,-1.01784668663471,67.8721550217677,-13.4037164732051,0.589372031133871,96.9471083679576
-3.52477751998869,-1.03272845830089,74.5800934599833,-15.0207329783826,0.362955120062288,108.503590574996
-4.68378646126635,-1.0569830513448,81.3726757983534,-16.9832695028042,0.112507253239437,120.406623287788
-5.97801407543263,-1.08407629719087,88.1758961824635,-19.2409446359635,-0.144650994479842,132.479075974065
-7.37686768913173,-1.10679371390665,94.9153203036546,-21.7265935178367,-0.386587734350396,144.541829353252
-8.84551759572864,-1.11548502468535,101.519177870776,-24.3630608233567,-0.588233857109408,156.426434530115
-10.349564269594,-1.10105807614687,107.920841960944,-27.070197875469,-0.723867354181026,167.980657233506
-11.8560983449681,-1.05414080311463,114.061814110377,-29.7715218550921,-0.769709615911611,179.069963490065
-13.335139797938,-0.964533412310589,119.893472967341,-32.4011850837404,-0.705029470133995,189.578718222819
-14.7641824280479,-0.824130767671492,125.376266301659,-34.907952534602,-0.514869259468028,199.413386523747
-16.1255813303144,-0.626126072079989,130.482772396452,-37.2548382698078,-0.189449692743748,208.506845139414
-17.4072402169109,-0.364700904975291,135.196925645638,-39.4192264292873,0.274594066991244,216.821132721441
-18.6032693115183,-0.0354000178593616,139.513322933636,-41.3900957802996,0.875764416979788,224.347540640423
-19.7119069139383,0.363832391859652,143.439029173984,-43.1643910476107,1.60994662272184,231.103379021535
-20.7334439625846,0.833444078524236,146.990858750243,-44.7482157226981,2.46637596002061,237.126287503172
-21.6707330248785,1.37152444155071,150.193518812411,-46.1515512120156,3.4307117172404,242.472206728536
-22.5287166294068,1.97331284316625,153.077565191771,-47.3872120510858,4.4855641537743,247.20942693835
