St1_Pelvis_X,St1_Pelvis_Y,St1_Pelvis_Z,St2_Pelvis_X,St2_Pelvis_Y,St2_Pelvis_Z,St1_Hip_X,St1_Hip_Y,St1_Hip_Z,St2_Hip_X,St2_Hip_Y,St2_Hip_Z,St1_Knee_X,St1_Knee_Y,St1_Knee_Z,St2_Knee_X,St2_Knee_Y,St2_Knee_Z,St1_Ankle_X,St1_Ankle_Y,St1_Ankle_Z,St2_Ankle_X,St2_Ankle_Y,St2_Ankle_Z
45.6004798,8.1984728,-2.604308,38.632003,-7.151255,-0.4087188,7.1955428,-2.6378052,-0.6126148,7.6588104,-2.135612,-1.1481066,2.0637188,-0.9828714,0.5184784,1.0077626,-0.9195842,0.2394454,0.778512,0.058918,-0.1351804,0.7198588,0.1363058,-0.1117456
45.6080928,8.4553288,-2.5802774,38.7697652,-7.129409,-0.4355298,7.1930934,-2.6167536,-0.6336664,7.7217004,-2.1384586,-1.156183,2.0394234,-0.9789656,0.4979564,0.9491094,-0.9350088,0.2434174,0.7736132,0.0584546,-0.1374974,0.7174094,0.1359086,-0.1094948
45.6089534,8.7153624,-2.5518114,38.8982594,-7.1367572,-0.4659818,7.1936892,-2.5876918,-0.6536588,7.78512,-2.1414376,-1.1635974,2.0160548,-0.9732062,0.476971,0.8895956,-0.950963,0.2475218,0.7685158,0.0580574,-0.1396158,0.7150262,0.1356438,-0.1071116
45.6030616,8.9744692,-2.5197044,39.01497,-7.1710488,-0.4997438,7.1960062,-2.551348,-0.6724596,7.849003,-2.1447476,-1.1705484,1.9936792,-0.9657256,0.455787,0.8294198,-0.9672482,0.2517586,0.763286,0.0577264,-0.1415356,0.7128416,0.135379,-0.1047284
45.5910794,9.228942,-2.484486,39.1165208,-7.2289738,-0.5360876,7.1989852,-2.508649,-0.6899364,7.9132832,-2.1485872,-1.1771684,1.9723628,-0.95659,0.4345368,0.7688468,-0.9837982,0.2559954,0.7578576,0.0574616,-0.1431906,0.7109218,0.1352466,-0.1023452
45.5743308,9.4756032,-2.4468844,39.1990722,-7.305501,-0.5738878,7.201898,-2.4605878,-0.7060892,7.9779606,-2.1530888,-1.1835236,1.9521056,-0.945998,0.4133528,0.708009,-1.0004144,0.2600336,0.7524292,0.057263,-0.1447132,0.7093992,0.1352466,-0.1000282
45.554868,9.71154,-2.4074954,39.2589832,-7.3940104,-0.611688,7.2040826,-2.4084222,-0.720918,8.0431676,-2.1581862,-1.1897464,1.9329738,-0.9342144,0.3924336,0.6471712,-1.0169644,0.263807,0.7470008,0.0571306,-0.145971,0.7082738,0.135379,-0.0977112
45.53567,9.9345016,-2.3669148,39.2944002,-7.4872862,-0.6479656,7.2054728,-2.35341,-0.7345552,8.1087718,-2.1639456,-1.1959692,1.914835,-0.921504,0.3718454,0.586532,-1.0333158,0.2671832,0.7416386,0.0569982,-0.146964,0.7075456,0.1355776,-0.0955928
45.520113,10.1425682,-2.3258708,39.3067134,-7.5784436,-0.6815952,7.2061348,-2.2968752,-0.7471332,8.1747732,-2.1701684,-1.2022582,1.8974244,-0.9081978,0.351853,0.52629,-1.04927,0.270096,0.7364088,0.056932,-0.1478246,0.7072808,0.1359748,-0.0936068
45.5117056,10.3340848,-2.2852902,39.300623,-7.6625176,-0.7121134,7.2063334,-2.2401418,-0.7587182,8.2410394,-2.1768546,-1.2086134,1.880742,-0.8945606,0.3325888,0.4666438,-1.0646284,0.272413,0.7313776,0.056932,-0.1484866,0.7074132,0.1364382,-0.0917532
