St1_VL,St2_VL,St1_BF,St2_BF,St1_TA,St2_TA,St1_GAL,St2_GAL
-0.008193,0.06046,0.004432,0.000276,0.001968,0.10064,-0.002392,0.004628
0.010199,-0.076442,0.001684,0.008622,0.003049,-0.012119,0.001489,0.002746
0.030486,-0.050721,-0.002066,0.001426,0.020728,0.002088,0.001699,-0.002096
-0.091937,-0.00651,0.001592,-0.003588,-0.009776,-0.005052,0.002551,0.005287
-0.004659,0.027435,-0.002132,-0.003008,-0.003354,0.000808,0.002415,-0.001051
-0.021408,0.073014,0.0041,0.009123,0.002246,-0.009882,0.001115,-0.006834
0.024598,0.053608,-0.001583,0.00237,-0.005025,0.063405,-0.002769,0.002558
0.015596,-0.050187,-0.003956,0.006729,0.008143,0.036011,0.001125,0.002064
-0.007528,0.042543,0.000471,-0.010152,0.001687,0.002191,0.000214,-0.008803
0.033982,-0.003954,0.007512,0.003183,-0.00269,0.000169,-0.001916,-0.003191
-0.026743,0.017272,0.002378,-0.002569,-0.041877,-0.005205,0.00269,-0.001049
0.011735,-0.051451,-0.000596,0.003785,0.019468,-0.008907,-0.001144,9e-06
0.005033,0.042544,-0.003812,-0.001391,-0.015207,-0.03272,0.002238,-0.00125
0.028878,0.038055,-0.002732,-0.000354,-0.079531,0.118752,-0.006422,-0.004861
-0.068048,-0.082259,0.006619,0.007892,-0.022547,0.013859,0.001277,0.001867
0.055309,-0.033058,-0.008319,0.01262,-0.055191,0.100678,-0.001063,0.002867
-0.032856,0.018747,-0.005005,0.003723,-0.047808,0.004469,0.004384,-0.001107
-0.011473,0.036186,0.002461,-0.008235,0.06,-0.095235,-0.002882,0.00035
-0.034551,-0.018276,0.002198,-0.019883,0.023659,-0.012292,-0.004695,0.002211
-0.006014,0.07933,0.000498,0.009323,-0.014931,-0.078976,-0.004343,-0.008032
0.043669,-0.067059,-0.00645,0.011585,-0.024086,-0.11524,0.001936,-0.000838
-0.015561,0.005501,0.003411,0.011007,-0.025124,0.119555,-0.000115,0.012699
0.016733,0.001901,-0.002639,0.022868,-0.009475,0.007624,0.000992,-0.001266
-0.04084,0.025056,0.000979,-0.057324,-0.011496,0.02205,0.002242,-0.000125
0.008389,0.00438,0.00217,-0.039393,0.002307,-0.001534,-0.002782,-0.006087
0.0041,0.017967,-0.005697,-0.036341,0.002104,-0.017386,-0.006088,0.00032
0.004451,-0.002682,0.013127,0.000788,0.009794,0.033626,-0.005562,-0.006272
0.019422,0.019846,-0.00086,-0.013378,0.005125,0.006389,0.002609,0.003283
-0.020385,0.010403,0.001497,0.002534,-0.002553,-0.08253,0.006479,-0.008487
-0.010302,0.001977,0.002207,0.010758,0.003224,0.181458,0.001164,0.00557
0.048138,-0.021743,-0.002182,0.006062,-0.013723,-0.304353,0.003217,0.000593
-0.071626,-0.002054,-0.006302,0.024456,0.045846,-0.515813,0.002132,-0.00592
-0.025076,0.038893,0.018343,0.011228,-0.060765,0.210753,-0.006988,0.0059
0.019885,0.019282,0.009092,-0.064945,-0.056636,0.200267,0.0038,-0.008207
-0.040432,-0.041936,-0.011036,0.002303,0.087029,-0.03284,0.001829,-0.002279
0.01379,-0.070986,0.000402,-0.003796,0.010428,0.006058,0.00037,-0.000182
0.060746,-0.002072,0.000439,0.003976,-0.032065,-0.183619,-0.005616,0.003578
-0.047278,0.024844,0.00267,-0.009265,0.005621,-0.103053,0.004552,0.003523
0.069999,0.068104,-0.006199,-0.003802,0.005884,0.061366,0.001058,0.004791
-0.109349,-0.117095,-0.000565,0.002844,-0.022587,-0.080875,-0.004132,-0.000238
0.026301,-0.014238,0.018624,-0.000921,0.070615,0.047796,0.00284,0.000469
-0.04201,0.016129,0.002499,0.003327,0.000203,0.015682,0.012459,-0.008153
-0.009447,0.02076,-0.003948,0.002186,0.016554,-0.002604,-0.014519,0.00094
0.043993,0.02392,-0.001103,0.006403,-0.005136,-0.010836,-0.003648,-0.002047
-0.024861,-0.037845,0.001376,-0.006414,-0.060873,-0.015275,0.002542,0.000968
0.004474,-0.007376,-0.007234,0.002088,-0.008065,-0.050024,0.00269,-0.004593
0.014396,-0.049034,0.007386,0.028404,0.062791,0.042777,0.001198,0.005352
0.005346,0.029003,-0.00515,0.007485,-0.142004,-0.003922,-0.005459,-0.004834
0.003536,0.043871,-0.000201,0.00211,0.082961,-0.315183,0.008779,-0.013193
0.002049,0.008136,0.005443,0.023034,0.307904,0.591027,0.00701,0.03328
0.012515,0.021531,-0.013788,0.005926,0.009819,0.119129,-0.002365,-0.008306
0.005134,-0.021931,0.00012,0.023041,-0.030686,0.020686,-0.000894,-0.006589
-0.000276,0.018176,-0.003692,0.011181,-0.028179,-0.072445,-0.000597,1.8e-05
0.027019,0.029466,-0.016299,-0.00121,0.01545,0.069693,-0.002277,-0.000373
0.011836,-0.004313,0.016541,-0.00246,-0.002319,-0.031782,-0.002231,-0.005357
0.013311,-0.012335,0.00794,0.039261,-0.06841,-0.024983,0.004501,0.001711
-0.013443,0.03034,-0.001402,-0.02425,-0.023805,-0.016014,-0.00146,-0.003089
-0.004126,0.065574,0.004512,-0.00557,0.324315,-0.003164,0.006326,-0.001114
0.011953,-0.046138,-0.011317,0.009982,0.006032,0.011067,-0.000812,0.004252
0.015405,-0.073092,0.011618,-0.003168,-0.001185,-0.007678,0.001377,-0.007103
0.046259,-0.007734,0.00536,0.00808,-0.007034,0.004428,-0.001148,0.008237
0.069845,-0.008391,-0.000595,0.004608,-0.004879,0.000222,-0.004156,-0.013874
-0.074218,0.061187,0.005843,-0.0003,-0.005857,0.015885,0.002443,-0.006267
-0.03244,-0.024047,-0.010555,0.009103,-0.007564,-0.08563,-0.000843,-0.008337
-0.007153,0.056598,-0.006883,0.009589,-0.006429,0.048395,0.004875,0.009123
0.004066,-0.081319,0.015141,-0.025868,-0.000116,-0.000903,0.010563,0.001794
0.016938,0.000623,-0.001727,-0.010233,-0.001208,0.013441,-0.011965,-0.000435
0.006326,0.006189,0.003689,0.013617,0.000473,0.002901,-0.003215,-0.000231
-0.008338,-0.010462,0.000105,0.056635,0.00054,0.009828,0.016177,-0.002658
