St1_GRF_X,St1_GRF_Y,St1_GRF_Z,St2_GRF_X,St2_GRF_Y,St2_GRF_Z
0.88810591464,1.39188529312,45.28950644526,-12.07837027915,6.44525988344,43.24063051938
0.512112125930071,1.26236244420266,52.0882829819869,-11.8015425970082,6.8025774806123,52.1198850378053
-0.0288598929162107,1.13132853041107,59.2397279998884,-11.7769848539729,7.11041818429359,61.6270741794261
-0.755239998822022,1.00358291894036,66.711185936471,-12.0485650413818,7.35554218782129,71.7357706781241
-1.68071626686406,0.883369895809143,74.4564807858346,-12.6488032723544,7.52474471685412,82.3785271100919
-2.80638505426115,0.77458560132621,82.4073212128069,-13.595402333353,7.60827622860788,93.444785074705
-4.12097732892875,0.682481124484004,90.4819084211191,-14.8868484669984,7.60063404265274,104.793919469965
-5.6017222057668,0.612367168292045,98.584335159019,-16.498234076927,7.50059734238707,116.266345738285
-7.21679348496439,0.5699611153707,106.611484511459,-18.3840221306138,7.31264086402143,127.700973735203
-8.92746939747282,0.562160048421317,114.459660561625,-20.4827424207875,7.04666296283675,138.951925346675
-10.6898513110002,0.597243119468011,122.028455708088,-22.7208781763345,6.71878131680876,149.892031303933
-12.459459868081,0.682582439722508,129.228149492403,-25.0255851835307,6.34669411738796,160.415973492463
-14.1940507264258,0.825014781144757,135.980955351213,-27.329210505055,5.95122222435308,170.437466331552
-15.8564401883402,1.03096902369605,142.222710209913,-29.5743718281725,5.55550579842411,179.886325756537
-17.4171944514872,1.30546643241668,147.906001718601,-31.7167774847165,5.18311464119422,188.708803165876
-18.8530877973776,1.65056837939683,152.99941056732,-33.7232506490523,4.85741018885246,196.868700251799
-20.1490839758607,2.06725647771889,157.488152468175,-35.5702440460467,4.60033121967376,204.349648841435
-21.2976028030951,2.55470783647021,161.372868951302,-37.2447751735278,4.43034314776008,211.156684810394
-22.2958034264311,3.10838395650132,164.667311911652,-38.7408966391149,4.36250669916535,217.310428886702
-23.1456550422291,3.72302220824563,167.398272137231,-40.0573589951721,4.40681681378888,222.847364963822
-23.8529981545903,4.39143258380262,169.599387234823,-41.2000057878955,4.57064391265638,227.817915420038
-24.4258393088455,5.10393563541858,171.308626846424,-42.1808392579239,4.85564540149739,232.287043002116
-24.8730861505834,5.84903407466884,172.568035253956,-43.0159327432852,5.25905318937046,236.333038576158
-25.205594007517,6.61517530665699,173.42288440821,-43.7256076060879,5.77324864401518,240.045977834237
-25.4346585797203,7.38862732000801,173.921381271984,-44.3329342080695,6.38715153066002,243.524023543477
-25.5726310599659,8.15414840845077,174.114283794488,-44.86038509323,7.08991571183,246.86877466118
-25.6329753965843,8.89689548667471,174.054646007925,-45.3310458574599,7.86595741489327,250.185455460579
-25.6273082283256,9.60361076640278,173.79800813535,-45.7669428388405,8.70154268281129,253.577282271305
-25.5671685342051,10.2606170143351,173.402140315432,-46.1861759342262,9.57949584866236,257.144844445731
-25.4645287886214,10.8558051861775,172.926042907182,-46.6055578300819,10.4836421588551,260.982567012674
-25.3306831432207,11.3794702003327,172.428640579315,-47.0399114103024,11.3990791733231,265.174344381362
-25.1741416510167,11.8217506249032,171.967353318611,-47.5008752985087,12.3119968693784,269.792592196565
