St1_Pelvis_X,St1_Pelvis_Y,St1_Pelvis_Z,St2_Pelvis_X,St2_Pelvis_Y,St2_Pelvis_Z,St1_Hip_X,St1_Hip_Y,St1_Hip_Z,St2_Hip_X,St2_Hip_Y,St2_Hip_Z,St1_Knee_X,St1_Knee_Y,St1_Knee_Z,St2_Knee_X,St2_Knee_Y,St2_Knee_Z,St1_Ankle_X,St1_Ankle_Y,St1_Ankle_Z,St2_Ankle_X,St2_Ankle_Y,St2_Ankle_Z
0.679914,0.182004,-0.008722,0.637326,-0.017282,0.032576,0.147476,-0.014364,-0.011756,0.11522,-0.00191,-0.010169,0.020402,-0.004215,0.00289,0.036299,0.001978,0.000772,0.011624,0.002426,-0.000761,0.011759,0.001633,-0.00095
0.68179,0.185054,-0.008228,0.64139,-0.022149,0.031179,0.149192,-0.014495,-0.011841,0.114975,-0.001563,-0.010165,0.019691,-0.004563,0.00293,0.035973,0.001861,0.000671,0.011646,0.002407,-0.0008,0.011675,0.001606,-0.000982
0.683649,0.187292,-0.007963,0.645081,-0.027633,0.029661,0.150891,-0.014609,-0.011921,0.114651,-0.001345,-0.010157,0.018977,-0.004918,0.002971,0.035648,0.00169,0.0006,0.011668,0.002388,-0.000841,0.011584,0.001576,-0.001019
0.685469,0.188726,-0.007923,0.648245,-0.033392,0.028101,0.152563,-0.014712,-0.011995,0.114228,-0.001257,-0.010143,0.01826,-0.005281,0.003014,0.035332,0.001464,0.000558,0.01169,0.002368,-0.000883,0.011489,0.001543,-0.001059
0.687235,0.189393,-0.008095,0.650728,-0.0391,0.026572,0.154193,-0.014808,-0.012063,0.113696,-0.001301,-0.010124,0.01754,-0.005655,0.00306,0.035027,0.001184,0.000546,0.011712,0.002349,-0.000926,0.01139,0.001509,-0.001103
0.688934,0.189357,-0.008462,0.65239,-0.044477,0.025137,0.155769,-0.014903,-0.012123,0.113051,-0.001474,-0.010096,0.016818,-0.006042,0.003111,0.034736,0.000852,0.000562,0.011734,0.002329,-0.00097,0.01129,0.001472,-0.001149
0.690551,0.188696,-0.008996,0.653127,-0.049319,0.023847,0.157277,-0.015003,-0.012177,0.1123,-0.001771,-0.010061,0.016096,-0.006441,0.003167,0.034459,0.000469,0.000606,0.011756,0.00231,-0.001015,0.011191,0.001435,-0.001197
0.692064,0.187502,-0.00966,0.65288,-0.053518,0.02273,0.158706,-0.01511,-0.012222,0.111456,-0.002183,-0.01002,0.015374,-0.006854,0.003229,0.034193,3.8e-05,0.000676,0.011776,0.002291,-0.001061,0.011094,0.001397,-0.001246
0.693446,0.185867,-0.010413,0.651637,-0.057047,0.0218,0.160041,-0.015229,-0.012259,0.11054,-0.002702,-0.009972,0.014654,-0.007281,0.003298,0.033933,-0.000436,0.000769,0.011796,0.002272,-0.001106,0.011002,0.001358,-0.001297
0.69466,0.183878,-0.011214,0.649428,-0.059941,0.021059,0.161271,-0.015364,-0.012287,0.109581,-0.003315,-0.009921,0.013939,-0.007722,0.003375,0.033673,-0.000947,0.000883,0.011814,0.002254,-0.001151,0.010914,0.00132,-0.001347
0.695662,0.18161,-0.012028,0.646327,-0.062273,0.020504,0.162383,-0.015518,-0.012305,0.108611,-0.004012,-0.00987,0.013231,-0.008175,0.003458,0.033406,-0.001491,0.001013,0.011831,0.002236,-0.001196,0.010832,0.001283,-0.001396
0.696406,0.179124,-0.012829,0.642449,-0.064126,0.020128,0.163366,-0.015694,-0.012312,0.107668,-0.004784,-0.009823,0.012532,-0.00864,0.003549,0.033123,-0.002062,0.001158,0.011846,0.002219,-0.001239,0.010758,0.001247,-0.001444
0.696844,0.176482,-0.013598,0.637953,-0.065582,0.019916,0.164209,-0.015895,-0.01231,0.10679,-0.00562,-0.009784,0.011846,-0.009115,0.003646,0.032816,-0.002654,0.001313,0.011859,0.002203,-0.001281,0.01069,0.001213,-0.001489
0.696936,0.173755,-0.014325,0.63303,-0.066711,0.019845,0.164901,-0.016125,-0.012297,0.106018,-0.006515,-0.009758,0.011177,-0.009597,0.00375,0.032477,-0.003261,0.001476,0.01187,0.002187,-0.001321,0.01063,0.001182,-0.001532
0.696654,0.171025,-0.015005,0.627894,-0.067577,0.019891,0.165436,-0.016389,-0.012276,0.105389,-0.007462,-0.009752,0.010526,-0.010084,0.00386,0.032097,-0.003878,0.001644,0.011879,0.002173,-0.001359,0.010577,0.001153,-0.00157
0.695981,0.168378,-0.015639,0.622779,-0.068231,0.020026,0.165809,-0.016691,-0.012246,0.104937,-0.008458,-0.009771,0.009898,-0.010575,0.003975,0.031671,-0.0045,0.001815,0.011887,0.002159,-0.001394,0.010531,0.001127,-0.001605
0.694912,0.165897,-0.016229,0.617927,-0.068709,0.020219,0.166016,-0.017037,-0.012211,0.104686,-0.009498,-0.009818,0.009295,-0.011065,0.004094,0.031194,-0.005122,0.001986,0.011892,0.002147,-0.001426,0.010492,0.001105,-0.001634
0.69345,0.163647,-0.016779,0.613563,-0.06902,0.020443,0.166061,-0.017432,-0.012171,0.104658,-0.010579,-0.009899,0.008718,-0.011553,0.004216,0.030662,-0.005741,0.002156,0.011896,0.002136,-0.001454,0.010461,0.001086,-0.001658
0.691611,0.161681,-0.017297,0.609863,-0.069137,0.020677,0.165948,-0.017879,-0.01213,0.10486,-0.011696,-0.010015,0.00817,-0.012035,0.004339,0.030074,-0.006351,0.002323,0.011899,0.002127,-0.00148,0.010435,0.001071,-0.001676
0.689421,0.160037,-0.017791,0.606948,-0.069001,0.020913,0.165688,-0.018383,-0.01209,0.105294,-0.012844,-0.010167,0.00765,-0.012508,0.004464,0.02943,-0.00695,0.002485,0.0119,0.002119,-0.001501,0.010414,0.001059,-0.001689
0.686918,0.15874,-0.018269,0.604883,-0.068548,0.021153,0.165294,-0.018946,-0.012054,0.105949,-0.014013,-0.010355,0.007158,-0.01297,0.004588,0.028731,-0.007531,0.002642,0.011901,0.002113,-0.001518,0.010399,0.00105,-0.001695
0.684147,0.157805,-0.018737,0.6037,-0.067737,0.021398,0.164785,-0.019569,-0.012025,0.106807,-0.015193,-0.010575,0.006692,-0.013416,0.004709,0.027978,-0.008092,0.002791,0.0119,0.002108,-0.001531,0.010388,0.001045,-0.001695
0.681167,0.157236,-0.019199,0.603386,-0.066553,0.021645,0.164181,-0.020252,-0.012005,0.107843,-0.016372,-0.010825,0.00625,-0.013846,0.004828,0.027176,-0.008629,0.002933,0.011899,0.002105,-0.00154,0.010379,0.001043,-0.001689
0.678039,0.157019,-0.019659,0.603865,-0.065018,0.021886,0.163509,-0.020992,-0.011999,0.109028,-0.017538,-0.011098,0.005828,-0.014255,0.004941,0.026327,-0.009137,0.003065,0.011896,0.002104,-0.001544,0.010373,0.001043,-0.001677
0.674832,0.15713,-0.02012,0.605016,-0.063193,0.022103,0.162793,-0.021785,-0.012006,0.110329,-0.018678,-0.01139,0.005423,-0.014641,0.005048,0.025434,-0.009616,0.003189,0.011893,0.002104,-0.001543,0.010368,0.001046,-0.001659
0.671618,0.157531,-0.020581,0.606707,-0.061187,0.022274,0.16206,-0.022624,-0.012031,0.111713,-0.019782,-0.011694,0.005029,-0.015003,0.005147,0.024502,-0.010062,0.003302,0.011889,0.002105,-0.001537,0.010364,0.001051,-0.001635
0.668467,0.158176,-0.021041,0.608827,-0.059165,0.022368,0.161335,-0.023501,-0.012073,0.113148,-0.020841,-0.012004,0.004642,-0.015336,0.005238,0.023533,-0.010477,0.003406,0.011884,0.002108,-0.001527,0.01036,0.001057,-0.001606
0.66544,0.159007,-0.021498,0.611281,-0.05734,0.022352,0.16064,-0.024406,-0.012132,0.114603,-0.021847,-0.012316,0.004258,-0.01564,0.005318,0.022531,-0.010861,0.0035,0.011877,0.002112,-0.001512,0.010355,0.001066,-0.001572
0.662588,0.15996,-0.021948,0.61397,-0.055972,0.0222,0.159996,-0.025324,-0.012208,0.116052,-0.022796,-0.012623,0.003872,-0.015912,0.005386,0.0215,-0.011214,0.003585,0.011869,0.002117,-0.001493,0.01035,0.001075,-0.001535
0.659948,0.160958,-0.022389,0.616773,-0.055319,0.021898,0.159418,-0.026244,-0.012301,0.117471,-0.023682,-0.012922,0.003479,-0.016149,0.005442,0.020443,-0.011541,0.003661,0.011859,0.002123,-0.001468,0.010345,0.001086,-0.001494
0.657541,0.161927,-0.022816,0.619554,-0.055582,0.021444,0.158917,-0.027148,-0.012406,0.118841,-0.024503,-0.013208,0.003076,-0.016351,0.005483,0.019363,-0.011845,0.003728,0.011847,0.00213,-0.00144,0.010341,0.001098,-0.001452
0.655381,0.162798,-0.023223,0.622179,-0.056859,0.020848,0.158498,-0.028021,-0.012523,0.120149,-0.025259,-0.013479,0.002661,-0.016515,0.00551,0.018265,-0.012129,0.003789,0.011833,0.002137,-0.001408,0.010337,0.001111,-0.001409
0.653473,0.163519,-0.023601,0.624528,-0.059155,0.02013,0.158163,-0.028848,-0.012647,0.121389,-0.02595,-0.013732,0.002232,-0.01664,0.005521,0.017153,-0.012397,0.003842,0.011816,0.002145,-0.001372,0.010336,0.001125,-0.001365
0.651817,0.164054,-0.023946,0.626504,-0.062379,0.01932,0.157906,-0.029612,-0.012774,0.12256,-0.026579,-0.013968,0.001788,-0.016725,0.005516,0.016028,-0.012656,0.003889,0.011795,0.002154,-0.001332,0.010338,0.00114,-0.001323
0.650405,0.164396,-0.024255,0.628037,-0.066354,0.018455,0.15772,-0.030298,-0.012902,0.123668,-0.027152,-0.014188,0.001329,-0.016767,0.005493,0.014895,-0.012909,0.00393,0.011772,0.002164,-0.001289,0.010344,0.001156,-0.001283
0.649228,0.164577,-0.024529,0.629083,-0.070835,0.01757,0.157594,-0.030894,-0.013025,0.124727,-0.027675,-0.014393,0.000854,-0.016767,0.005453,0.013755,-0.013162,0.003966,0.011746,0.002174,-0.001244,0.010356,0.001172,-0.001247
0.648276,0.164654,-0.024773,0.629618,-0.075548,0.016701,0.157514,-0.031385,-0.013139,0.125755,-0.02816,-0.014589,0.000367,-0.016724,0.005395,0.01261,-0.013422,0.003997,0.011716,0.002184,-0.001197,0.010374,0.00119,-0.001215
0.647537,0.164691,-0.024989,0.629634,-0.080238,0.015877,0.157464,-0.031763,-0.013242,0.126777,-0.028618,-0.014779,-0.000131,-0.01664,0.005319,0.01146,-0.013693,0.004025,0.011683,0.002195,-0.001148,0.0104,0.001208,-0.001188
0.647002,0.16474,-0.02518,0.629145,-0.084704,0.015119,0.157431,-0.03202,-0.01333,0.127819,-0.029066,-0.014971,-0.000639,-0.016513,0.005225,0.010304,-0.013981,0.004049,0.011647,0.002206,-0.001098,0.010434,0.001227,-0.001167
0.646669,0.164823,-0.025348,0.62818,-0.08879,0.014447,0.1574,-0.032151,-0.013401,0.128913,-0.029518,-0.015171,-0.001154,-0.016348,0.005114,0.009142,-0.014292,0.00407,0.011607,0.002217,-0.001048,0.010477,0.001247,-0.001152
0.646541,0.164937,-0.025497,0.626769,-0.092382,0.013879,0.15736,-0.032155,-0.013452,0.130092,-0.029991,-0.015388,-0.001672,-0.016146,0.004986,0.007971,-0.014631,0.004088,0.011565,0.002228,-0.000999,0.010529,0.001267,-0.001145
0.646627,0.165062,-0.025629,0.624934,-0.095369,0.013433,0.157301,-0.032036,-0.013483,0.131387,-0.0305,-0.015627,-0.002193,-0.015911,0.004842,0.006788,-0.015001,0.004105,0.011521,0.00224,-0.000951,0.010589,0.001287,-0.001145
0.646934,0.165172,-0.025749,0.622695,-0.097642,0.013132,0.157215,-0.031798,-0.013495,0.13283,-0.031059,-0.015895,-0.002714,-0.015649,0.004683,0.00559,-0.015405,0.004119,0.011475,0.002251,-0.000905,0.010658,0.001308,-0.001153
0.64746,0.165232,-0.025861,0.620079,-0.099117,0.012994,0.157102,-0.031453,-0.013488,0.134447,-0.03168,-0.016199,-0.003233,-0.015365,0.004512,0.004374,-0.015846,0.004131,0.011427,0.002262,-0.000862,0.010734,0.001328,-0.001168
