St1_Pelvis_X,St1_Pelvis_Y,St1_Pelvis_Z,St2_Pelvis_X,St2_Pelvis_Y,St2_Pelvis_Z,St1_Hip_X,St1_Hip_Y,St1_Hip_Z,St2_Hip_X,St2_Hip_Y,St2_Hip_Z,St1_Knee_X,St1_Knee_Y,St1_Knee_Z,St2_Knee_X,St2_Knee_Y,St2_Knee_Z,St1_Ankle_X,St1_Ankle_Y,St1_Ankle_Z,St2_Ankle_X,St2_Ankle_Y,St2_Ankle_Z
-12.7403224,1.103223,0.6936436,63.745966,13.3825948,-1.3260522,3.7064718,0.8455064,0.282012,6.8737446,-3.6326588,-1.5180984,1.4551422,2.1238946,-0.0963872,-0.1514656,-1.7375514,-0.4887546,-0.2941928,0.5740202,0.1078398,1.7892536,0.5464148,-0.547805
-13.2488708,0.3891898,0.7269422,63.7859508,13.295939,-1.345846,2.8401786,1.0758162,0.2755244,6.2768192,-3.932942,-1.6718148,1.796006,2.4711798,-0.1282294,-0.0667296,-1.9156956,-0.5203982,-0.3079624,0.6835812,0.1073102,2.077025,0.5969254,-0.59249
-13.6979716,-0.3990536,0.7819544,63.7640386,13.141693,-1.3602776,1.9924876,1.3301566,0.274399,5.6017116,-4.2564614,-1.8269876,2.1030416,2.8272696,-0.1625872,0.0242292,-2.1067488,-0.5449584,-0.2951858,0.8049258,0.1056552,2.3912102,0.6422724,-0.6321438
-14.06419,-1.2555492,0.8611296,63.701612,12.9163482,-1.3612044,1.1893492,1.606012,0.279695,4.8790062,-4.5918968,-1.9779898,2.3614864,3.1850806,-0.1988648,0.1054566,-2.3068714,-0.5617732,-0.2522882,0.9374582,0.102941,2.7309486,0.683846,-0.665641
-14.3305788,-2.1724854,0.9653284,63.6258792,12.6178524,-1.3410796,0.4516164,1.9001386,0.2921406,4.1486216,-4.928921,-2.1195916,2.5600202,3.5377942,-0.236334,0.1568278,-2.5130844,-0.5705778,-0.1776808,1.0799868,0.0993662,3.09485,0.7243604,-0.6921872
-14.4877376,-3.140197,1.0940212,63.5649752,12.246669,-1.2936804,-0.2062792,2.2079686,0.3120668,3.4534554,-5.2585308,-2.247159,2.6914272,3.8791214,-0.2741342,0.157225,-2.722806,-0.5713722,-0.071496,1.2307904,0.095328,3.480796,0.7674566,-0.711319
-14.534541,-4.1469666,1.244891,63.5416066,11.8066376,-1.2147038,-0.7767246,2.5240074,0.3394074,2.8316388,-5.573047,-2.3569186,2.7529932,4.203038,-0.3112062,0.089039,-2.9334544,-0.5642888,0.0644788,1.3876182,0.0914222,3.8851456,0.8167094,-0.7227054
-14.4776752,-5.1792894,1.4140982,63.5674908,11.3055036,-1.1022962,-1.2587268,2.841635,0.3735666,2.3098504,-5.8671736,-2.44609,2.7457774,4.5041818,-0.3463584,-0.0585208,-3.1426464,-0.54946,0.2271322,1.5478884,0.0882446,4.3031324,0.8747006,-0.7261478
-14.3307112,-6.2222042,1.5964792,63.6402446,10.7549844,-0.9573844,-1.657648,3.1533046,0.4134852,1.8988808,-6.1387922,-2.513614,2.6748772,4.7775878,-0.378333,-0.2871756,-3.3486608,-0.526952,0.4123598,1.7086882,0.0866558,4.7287984,0.9420922,-0.7213814
-14.113178,-7.2596906,1.7855464,63.7431856,10.1691144,-0.7839404,-1.9841464,3.4504764,0.4576406,1.5925734,-6.3894254,-2.5596892,2.5483028,5.0187544,-0.4059384,-0.5893124,-3.5510342,-0.4965,0.615329,1.8669724,0.0872516,5.1551926,1.0172954,-0.70834
-13.8485766,-8.2757282,1.974415,63.8499662,9.5627886,-0.5882532,-2.2531832,3.7243458,0.5041792,1.3721936,-6.6234424,-2.5859706,2.3766462,5.2237096,-0.4281154,-0.9503672,-3.7499652,-0.4579054,0.8308762,2.0195634,0.0908264,5.5751654,1.0973312,-0.6869574
-13.562063,-9.2546276,2.1558692,63.9310612,8.9501738,-0.3778034,-2.4817056,3.966042,0.5508502,1.2131812,-6.8471984,-2.5949076,2.171691,5.3890772,-0.443871,-1.352797,-3.946844,-0.4109696,1.0535068,2.1633498,0.0979098,5.9819644,1.1785586,-0.6574322
-13.2781974,-10.182222,2.323289,63.9603216,8.3441128,-0.1604688,-2.687058,4.1673562,0.5956014,1.0913732,-7.0683726,-2.5896116,1.9453532,5.512143,-0.452477,-1.779787,-4.1438552,-0.355825,1.277991,2.2953526,0.108899,6.3696978,1.2572042,-0.6202278
-13.0184948,-11.0463306,2.4708488,63.9178212,7.7551976,0.055939,-2.884665,4.3213374,0.6363144,0.9876378,-7.2958358,-2.5737236,1.7086882,5.5910534,-0.4534038,-2.2171042,-4.3444412,-0.2927364,1.4992314,2.4132548,0.1238602,6.733533,1.3303552,-0.576271
-12.7999024,-11.8370896,2.594047,63.791313,7.192299,0.263476,-3.0867074,4.4226234,0.670937,0.8886026,-7.5393856,-2.551679,1.4706992,5.6248154,-0.4467838,-2.653958,-4.5533022,-0.2226306,1.7128588,2.5151366,0.1425286,7.0702262,1.3954298,-0.5272168
-12.6341376,-12.5474156,2.6895736,63.574177,6.6632286,0.4540658,-3.3015264,4.4677718,0.6978142,0.786125,-7.8093492,-2.5283104,1.2382048,5.6133628,-0.4328818,-3.0824044,-4.7761976,-0.1470302,1.9152984,2.6001374,0.1644408,7.3772618,1.450442,-0.4751174
-12.5280852,-13.173138,2.7556412,63.26403,6.1749374,0.619963,-3.5338884,4.45526,0.715622,0.675571,-8.115458,-2.5085828,1.0159714,5.5576886,-0.4123598,-3.4966178,-5.0190192,-0.067524,2.1035712,2.6677276,0.1887362,7.6533158,1.4934058,-0.4224222
-12.4841946,-13.7126018,2.791985,62.8611368,5.7344426,0.7548124,-3.7855808,4.3856176,0.7236322,0.5543588,-8.4657222,-2.4963358,0.806978,5.4596464,-0.3858798,-3.8921628,-5.2872616,0.0146302,2.2753602,2.7181058,0.214819,7.897991,1.522269,-0.3711834
-12.501208,-14.1662042,2.7993994,62.368013,5.348298,0.8540462,-4.0558754,4.2604996,0.72158,0.4216278,-8.8659674,-2.4946808,0.612681,5.3219504,-0.3540376,-4.266259,-5.5854926,0.0981746,2.4290766,2.7518016,0.2421596,8.1120156,1.5355752,-0.323056
-12.5748224,-14.5363284,2.7799366,61.7892264,5.0224616,0.9150164,-4.3419918,4.082885,0.7097964,0.2779738,-9.3197684,-2.5057362,0.4334114,5.1479106,-0.3172966,-4.6175824,-5.9170884,0.1823148,2.5639922,2.7696094,0.2702946,8.296846,1.5326624,-0.2794964
