St1_VL,St2_VL,St1_BF,St2_BF,St1_TA,St2_TA,St1_GAL,St2_GAL
0.015724,0.009521,-0.000917,-0.001918,-0.038034,0.004632,-0.002865,-0.000902
0.014458,0.01128,-0.004487,0.000595,-0.066325,-0.076405,-0.003158,-0.011495
0.007225,0.007497,0.014395,0.02895,0.062823,-0.097108,0.005858,-0.000923
0.03784,0.020774,0.001273,-0.09139,0.164165,0.257897,0.01467,0.019947
0.044248,0.054057,-0.002296,0.012707,0.029821,-0.012068,-0.001994,0.000375
-0.09125,-0.063509,0.00525,0.003509,0.004738,-0.044236,0.012304,-0.004955
-0.030455,0.000378,-0.006351,0.003961,0.000259,-0.041336,-0.016347,0.000954
-0.025164,-0.031279,-0.009967,-0.000732,-0.024547,-0.01649,-0.00693,-0.005247
0.015313,-0.019491,0.000121,0.003561,0.087288,-0.014827,0.005687,0.002205
0.017107,0.057942,-0.003669,-0.006516,0.098116,0.007019,0.007144,0.001327
0.000182,-0.027701,-0.003616,-0.000725,-0.14365,-0.020291,-0.008711,-0.003667
0.01223,0.004807,0.005127,0.002146,0.160979,-0.146609,0.017959,-0.008682
-0.002552,0.02329,0.003888,-0.011079,0.087509,-0.068854,0.001964,-0.004299
0.004034,0.017799,-0.004993,-0.003467,-0.01725,0.143821,-0.001432,0.011549
0.044572,-0.006154,0.001533,0.01101,-0.016972,-0.019917,0.000455,0.00166
0.018485,-0.035828,-0.005878,0.00352,-0.005028,-0.043322,0.003573,-0.007892
0.022664,0.003189,-0.005072,0.002061,-0.003698,-0.012719,-0.001286,-0.001077
-0.063358,0.034552,0.000821,0.007497,0.001257,-0.013269,-0.001017,-0.005047
-0.028996,-0.001789,-0.00458,-0.011526,-0.009752,-0.078095,-0.001987,-0.005034
0.016905,0.000864,0.004273,-0.002007,-0.026928,-0.027685,-0.005329,1.2e-05
0.014522,-0.008619,0.00409,-0.003612,-0.01855,0.039257,0.001265,0.007635
0.029372,0.030168,-8.3e-05,0.004182,0.007159,-0.06046,0.002011,-0.010238
-0.013153,-0.016635,-0.009407,-0.000547,0.013767,-0.035298,0.002266,-0.00372
0.00216,-0.052235,0.003984,-0.055734,-0.008121,-0.006498,-0.002197,0.010012
0.017797,0.00862,-0.000877,0.012153,-0.003947,0.010393,-0.000468,-0.014326
-0.001839,0.00672,0.016357,-0.006227,-0.027502,0.018111,-0.004091,-0.011327
-0.019761,0.07354,-0.006049,0.005066,0.029227,0.006769,0.004059,0.001716
0.005846,-0.124898,-0.038122,-0.005892,-0.057774,0.00804,-0.011486,0.004918
0.024949,0.005807,-0.00314,-0.004411,0.059757,-0.005604,0.005448,0.000289
-0.020294,-0.01639,-0.008448,-0.005461,-0.052038,-0.006864,0.004609,8.6e-05
-0.024574,0.036714,0.011303,0.000489,-0.004383,-0.003231,0.030167,-0.005398
0.009013,-0.022307,-0.002264,-0.000513,-0.001873,0.005653,-0.011621,0.000321
0.012628,-0.013644,0.007341,0.004367,-0.009126,-0.179432,-0.004463,-0.007717
-0.024015,-0.00388,0.00118,0.003402,-0.033982,0.09943,-0.005492,0.014458
-0.00349,0.03747,-0.00128,-0.008762,0.076315,-0.017807,0.012951,-0.005342
0.012209,0.002278,-0.010787,-0.001916,0.017112,0.002689,0.006875,-0.003962
0.009158,-0.022256,0.001341,-0.000605,-0.00464,-0.001097,-0.008068,0.007328
0.006825,0.032262,0.007274,0.001049,-0.014473,0.001989,-0.016305,0.002625
0.024173,-0.030522,-0.005529,0.003775,-0.011051,-0.010173,-0.008632,-0.017558
0.046394,-0.002971,-0.001737,-0.001586,-0.008235,-0.001197,0.007393,-0.002157
-0.043259,0.004008,-0.008121,-0.001108,-0.003345,0.003037,0.005824,0.000974
-0.078249,-0.000767,-0.007934,0.00153,0.007917,0.002158,0.003567,-0.004107
-0.02443,0.010246,-0.005806,-0.004179,0.007924,-0.124737,0.004469,-0.005189
0.062653,0.037676,0.004449,-0.002116,-0.002956,0.176712,-0.001502,0.007914
-0.03581,-0.139416,0.006183,-0.004847,0.003114,-0.240883,0.000393,-0.010204
0.016689,-0.018104,-0.005792,0.000736,-0.003071,-0.1206,0.000408,-0.0167
0.010837,0.007995,-0.007233,0.00097,-0.062942,0.115057,-0.010213,0.008234
0.042522,0.075392,0.003082,0.007387,-0.078605,-0.089837,0.000634,-0.009324
0.069835,0.078565,0.0005,0.000127,0.103255,-0.026645,0.014168,0.00194
-0.145627,-0.082752,0.001407,-0.001789,-0.000152,-0.006014,-0.002903,-0.00158
