St1_Pelvis_X,St1_Pelvis_Y,St1_Pelvis_Z,St2_Pelvis_X,St2_Pelvis_Y,St2_Pelvis_Z,St1_Hip_X,St1_Hip_Y,St1_Hip_Z,St2_Hip_X,St2_Hip_Y,St2_Hip_Z,St1_Knee_X,St1_Knee_Y,St1_Knee_Z,St2_Knee_X,St2_Knee_Y,St2_Knee_Z,St1_Ankle_X,St1_Ankle_Y,St1_Ankle_Z,St2_Ankle_X,St2_Ankle_Y,St2_Ankle_Z
-0.37612,-0.188033,-5.470549,2.445623,1.594104,-5.603724,-12.071895,-2.810952,9.617719,-7.71496,-2.575655,9.792206,35.267757,-0.808441,-24.973169,38.812836,-2.526081,-14.748146,-13.39438,2.012236,13.346774,-19.870321,7.613241,24.131908
-0.370018,-0.112877,-5.46175,2.446208,1.656263,-5.519948,-11.968762,-2.783638,9.587666,-7.669569,-2.487835,9.863967,35.517067,-0.748395,-24.99905,38.950684,-2.564833,-14.719712,-13.522261,2.047896,13.322865,-20.166965,7.409939,24.182838
-0.363073,-0.037598,-5.453322,2.449017,1.717466,-5.43652,-11.856687,-2.755769,9.556475,-7.63005,-2.40106,9.936254,35.783287,-0.684204,-25.026363,39.083778,-2.597965,-14.692886,-13.627091,2.085736,13.289666,-20.458063,7.209495,24.229048
-0.355161,0.037477,-5.445348,2.453936,1.777597,-5.353696,-11.735698,-2.727782,9.524049,-7.595757,-2.315695,10.008751,36.066757,-0.615724,-25.055626,39.213371,-2.624948,-14.668011,-13.707809,2.125378,13.247151,-20.743114,7.012478,24.270315
-0.346166,0.11202,-5.437913,2.460837,1.836529,-5.271741,-11.6059,-2.700104,9.490337,-7.565995,-2.2321,10.081125,36.367634,-0.54284,-25.08741,39.340744,-2.645314,-14.645474,-13.763526,2.166392,13.195395,-21.02166,6.819411,24.306475
-0.335978,0.185736,-5.43111,2.469578,1.894125,-5.19093,-11.467428,-2.673139,9.455329,-7.540032,-2.150634,10.153016,36.685959,-0.465459,-25.122322,39.467163,-2.658666,-14.625707,-13.793583,2.208315,13.134567,-21.29324,6.630785,24.337358
-0.324495,0.25835,-5.425023,2.480011,1.950256,-5.111528,-11.320473,-2.647255,9.419052,-7.517106,-2.071624,10.224048,37.021557,-0.383529,-25.161001,39.593899,-2.664679,-14.609183,-13.797562,2.250659,13.064936,-21.557449,6.44701,24.362865
-0.311627,0.329623,-5.419737,2.491987,2.004806,-5.033787,-11.165261,-2.622784,9.38157,-7.496442,-1.995363,10.29383,37.37413,-0.29704,-25.204094,39.722202,-2.663101,-14.596422,-13.775311,2.292932,12.986855,-21.813902,6.268441,24.3829
-0.297298,0.399343,-5.415329,2.505357,2.057666,-4.957955,-11.002086,-2.600009,9.342984,-7.477268,-1.922115,10.361947,37.743156,-0.206048,-25.252235,39.853271,-2.653754,-14.587974,-13.726963,2.334639,12.900786,-22.062174,6.0954,24.397396
-0.281444,0.467352,-5.411862,2.519981,2.108756,-4.884253,-10.831257,-2.579152,9.303425,-7.458814,-1.852084,10.427979,38.127949,-0.11066,-25.306034,39.988293,-2.636531,-14.584423,-13.652966,2.375317,12.807261,-22.301868,5.928141,24.406296
-0.264018,0.533538,-5.409386,2.535726,2.15802,-4.81288,-10.653126,-2.560372,9.263041,-7.440327,-1.785429,10.491498,38.527679,-0.011053,-25.366058,40.128384,-2.611391,-14.586374,-13.554062,2.414537,12.706891,-22.532564,5.766865,24.40955
-0.244994,0.597827,-5.40793,2.552473,2.205427,-4.744019,-10.468089,-2.543759,9.222007,-7.421082,-1.722259,10.552065,38.941303,0.092515,-25.432804,40.274605,-2.578358,-14.594445,-13.431314,2.451923,12.600375,-22.753788,5.61176,24.407093
